predictability_weight	deletion_rate	NData	AIC	Coefficient	Correlation	
0	0.2	7271	94861.52	4.972634	0.7800189	0.4307076	
0.5	0.6	7271	94861.34	5.709725	0.2901025	-0.6678909	
0	0.35	7271	94865.52	4.994861	0.4608529	0.9930693	
0	0.1	7271	94854.41	4.913151	0.9330296	1.824606	
1	0.2	7271	94859.03	4.655685	1.116735	-1.314287	
1	0.65	7271	94860	5.257716	0.9478641	-1.460545	
0.75	0.15	7271	94857.39	4.94951	0.3688198	-1.44508	
0	0.7	7271	94877.35	2.198863	-1.811276	1.613702	
0.25	0.15	7271	94858.59	4.945545	0.07400748	-1.044779	
0	0.4	7271	94858.99	5.155698	-0.2139121	2.819746	
0.75	0.3	7259	94713.77	4.813449	0.8140802	-0.7457276	
1	0.9	7271	94863.68	6.109847	-1.576321	0.748838	
0	0.85	7271	94884.83	2.216081	-2.021829	0.2839953	
1	0.35	7271	94857.12	4.680244	1.934516	-0.003370035	
0.5	0.75	7271	94862.48	5.493387	-1.118757	1.407725	
1	0.1	7271	94859.03	4.978558	-0.05667919	-0.7259432	
1	0.55	7271	94864.52	5.113095	-0.2258458	-0.8201255	
0.75	0.45	7271	94859.63	5.17871	1.388515	-0.3821785	
0.75	0.1	7271	94853.98	4.846496	0.6255686	-1.624558	
1	0.75	7271	94860.98	5.767043	0.1991464	-0.9894281	
1	0.5	7271	94863.4	5.119278	0.2867314	0.339657	
1	0.3	7271	94858.67	4.786863	1.440095	0.4089018	
0.5	0.5	7271	94861.38	5.50083	0.4779499	-0.371927	
1	0.25	7271	94861.27	4.871619	0.5979866	-0.6069939	
0.5	0.4	7271	94859.84	5.479565	0.9402725	0.3644659	
0.5	0.2	7271	94862.07	5.03014	-0.1195728	-0.588923	
0.75	0.25	7271	94860.2	4.961866	1.06343	-1.151024	
0	0.6	7271	94869.13	5.625501	-0.7578868	0.3511079	
0.5	0.3	7271	94864.18	5.010629	0.3057553	-0.721107	
0.5	0.35	7271	94864.5	5.126007	0.1407268	-0.3084287	
1	0.6	7271	94864.63	5.174524	-0.5017784	0.1148077	
0.25	0.55	7271	94860.21	5.872786	0.1489752	1.069278	
0	0.8	7271	94885.98	0.002198819	-1.232141	1.20941	
0.75	0.4	7271	94860.41	5.261795	0.5288508	0.5177801	
0	0.25	7271	94861.38	5.296675	-0.05587625	1.600596	
0	0.45	7271	94861.62	4.597959	-0.7119019	2.841209	
0.5	0.25	7271	94863.54	4.997715	-0.05741262	-1.244083	
0.75	0.9	7271	94862.56	6.359055	-1.316095	0.2507991	
0.5	0.45	7271	94860.41	5.45666	0.891838	-0.8816752	
1	0.4	7271	94861.76	5.009996	0.4975067	-0.6999805	
0.75	0.65	7271	94859.39	5.441567	1.010301	0.3828024	
0.25	0.35	7271	94863.36	5.154564	0.2628108	0.1386307	
0.25	0.05	7271	94852.89	4.942691	-0.05266371	1.295636	
0.25	0.7	7271	94860.18	5.802879	-1.245405	1.538025	
0.25	0.6	7271	94858.66	6.096288	0.08899565	0.8647279	
0.75	0.05	7271	94855.89	5.031165	0.8623593	1.186313	
0.75	0.35	7271	94860.13	5.278286	0.9731368	-0.5573512	
0	0.15	7271	94861.81	5.067441	-0.84426	-0.04796756	
0	0.75	7271	94882.2	3.592179	-1.458141	0.9420425	
0.5	0.95	7271	94871.96	5.246319	-0.4778246	1.21273	
0.25	0.95	7271	94867.38	4.809063	-2.838776	0.477618	
0.5	0.7	7271	94857.7	6.233258	0.5724764	-0.5985417	
0.5	0.1	7271	94852.95	4.7008	1.761289	-1.152733	
1	0.05	7271	94854.64	4.742802	0.9229356	1.07788	
0	0.95	7209	93742.32	0.9172357	-2.200867	1.677084	
0.5	0.85	7271	94861.01	6.157199	-1.699277	0.4272955	
0.5	0.05	7271	94854.54	4.992828	-0.488184	1.332436	
1	0.85	7271	94858.97	6.459001	-1.484693	0.3861422	
0.75	0.5	7271	94859.04	5.42665	0.9209416	-0.1902849	
0.5	0.15	7271	94857.7	4.796586	1.226749	-1.100938	
0.25	0.8	7271	94863.17	5.47005	-2.011591	1.241928	
0.25	0.1	7271	94849.43	4.787899	1.918029	-1.058656	
1	0.7	7263	94742.36	5.584792	0.5153734	-1.702099	
0.75	0.95	7271	94868.68	4.306771	-2.9596	1.217083	
0.5	0.65	7271	94858.28	5.952629	0.7284081	0.1462246	
0.5	0.8	7271	94860.73	6.194476	-0.4501056	-0.2971109	
0.25	0.45	7271	94860.3	5.747231	-0.5365282	0.5206285	
0	0.5	7271	94861.8	5.408478	-1.273111	1.887311	
0.75	0.8	7271	94858.12	6.308202	-0.3276473	-0.8867286	
1	0.15	7271	94860.01	4.816893	0.4638537	-0.2953724	
1	0.95	7271	94870.48	5.345108	-2.103255	0.5446225	
0.25	0.75	7271	94855.88	5.850188	-2.174184	1.834216	
0	0.9	7271	94886.3	-1.12789	-0.2612938	0.2716548	
1	0.45	7271	94863.8	5.151721	0.1367728	-0.3876451	
0.5	0.9	7271	94859.69	6.438345	-1.953815	0.3726881	
0.25	0.3	7271	94863.04	5.052186	-0.8534275	-0.9620094	
0.75	0.85	7271	94861.65	6.115184	-0.6543514	-0.09484952	
1	0.8	7271	94861.68	5.92123	-0.3889273	-0.8885034	
0.75	0.6	7271	94859.89	5.77233	0.301947	-0.4658571	
0	0.65	7271	94866.1	5.987236	-1.318548	0.717237	
0.25	0.5	7271	94858.6	6.034466	0.3569001	-0.4766282	
0.25	0.85	7271	94862.39	5.790603	-1.759561	1.593866	
0.25	0.9	7271	94867.24	5.140232	-2.453428	1.034715	
0.25	0.4	7271	94864.23	5.343467	-0.2427991	-0.6869333	
0.25	0.2	7271	94863.94	5.11266	-1.061578	-0.7033363	
0	0.55	7271	94856.79	5.838701	-0.3385413	2.633687	
0	0.05	7271	94856.55	4.903004	-0.8697157	-0.2866017	
0.75	0.75	7271	94858.15	6.045416	-0.07648527	-0.487315	
0.25	0.25	7271	94863.4	5.06726	-1.075493	-0.4832019	
0.25	0.65	7271	94862.88	6.052465	-0.5190982	0.5350908	
0.75	0.55	7271	94861.46	5.38728	0.5458642	0.0111395	
0	0.3	7271	94863.25	4.980387	0.2745233	1.73173	
0.5	0.55	7271	94862.43	5.655339	-0.6576084	0.6957621	
0.75	0.2	7271	94858.88	4.825518	0.6137482	-0.122992	
0.75	0.7	7271	94858.48	5.968766	0.4998365	-0.3931595	
